# fold XOR-differential scan
ffffffffffffffff fffffffffffff7ff allones_clr_d1_b11
fffffffffffff7ff fffffffffffff7ff allones_clr_both_b11
ffffffffffffefff ffffffffffffffff allones_clr_d0_b12
ffffffffffffffff ffffffffffffefff allones_clr_d1_b12
ffffffffffffefff ffffffffffffefff allones_clr_both_b12
ffffffffffffdfff ffffffffffffffff allones_clr_d0_b13
ffffffffffffffff ffffffffffffdfff allones_clr_d1_b13
ffffffffffffdfff ffffffffffffdfff allones_clr_both_b13
ffffffffffffbfff ffffffffffffffff allones_clr_d0_b14
ffffffffffffffff ffffffffffffbfff allones_clr_d1_b14
ffffffffffffbfff ffffffffffffbfff allones_clr_both_b14
ffffffffffff7fff ffffffffffffffff allones_clr_d0_b15
ffffffffffffffff ffffffffffff7fff allones_clr_d1_b15
ffffffffffff7fff ffffffffffff7fff allones_clr_both_b15
fffffffffffeffff ffffffffffffffff allones_clr_d0_b16
ffffffffffffffff fffffffffffeffff allones_clr_d1_b16
fffffffffffeffff fffffffffffeffff allones_clr_both_b16
fffffffffffdffff ffffffffffffffff allones_clr_d0_b17
ffffffffffffffff fffffffffffdffff allones_clr_d1_b17
fffffffffffdffff fffffffffffdffff allones_clr_both_b17
fffffffffffbffff ffffffffffffffff allones_clr_d0_b18
ffffffffffffffff fffffffffffbffff allones_clr_d1_b18
fffffffffffbffff fffffffffffbffff allones_clr_both_b18
fffffffffff7ffff ffffffffffffffff allones_clr_d0_b19
ffffffffffffffff fffffffffff7ffff allones_clr_d1_b19
fffffffffff7ffff fffffffffff7ffff allones_clr_both_b19
ffffffffffefffff ffffffffffffffff allones_clr_d0_b20
ffffffffffffffff ffffffffffefffff allones_clr_d1_b20
ffffffffffefffff ffffffffffefffff allones_clr_both_b20
ffffffffffdfffff ffffffffffffffff allones_clr_d0_b21
ffffffffffffffff ffffffffffdfffff allones_clr_d1_b21
ffffffffffdfffff ffffffffffdfffff allones_clr_both_b21
ffffffffffbfffff ffffffffffffffff allones_clr_d0_b22
ffffffffffffffff ffffffffffbfffff allones_clr_d1_b22
ffffffffffbfffff ffffffffffbfffff allones_clr_both_b22
ffffffffff7fffff ffffffffffffffff allones_clr_d0_b23
ffffffffffffffff ffffffffff7fffff allones_clr_d1_b23
ffffffffff7fffff ffffffffff7fffff allones_clr_both_b23
fffffffffeffffff ffffffffffffffff allones_clr_d0_b24
ffffffffffffffff fffffffffeffffff allones_clr_d1_b24
fffffffffeffffff fffffffffeffffff allones_clr_both_b24
fffffffffdffffff ffffffffffffffff allones_clr_d0_b25
ffffffffffffffff fffffffffdffffff allones_clr_d1_b25
fffffffffdffffff fffffffffdffffff allones_clr_both_b25
fffffffffbffffff ffffffffffffffff allones_clr_d0_b26
ffffffffffffffff fffffffffbffffff allones_clr_d1_b26
fffffffffbffffff fffffffffbffffff allones_clr_both_b26
fffffffff7ffffff ffffffffffffffff allones_clr_d0_b27
ffffffffffffffff fffffffff7ffffff allones_clr_d1_b27
fffffffff7ffffff fffffffff7ffffff allones_clr_both_b27
ffffffffefffffff ffffffffffffffff allones_clr_d0_b28
ffffffffffffffff ffffffffefffffff allones_clr_d1_b28
ffffffffefffffff ffffffffefffffff allones_clr_both_b28
ffffffffdfffffff ffffffffffffffff allones_clr_d0_b29
ffffffffffffffff ffffffffdfffffff allones_clr_d1_b29
ffffffffdfffffff ffffffffdfffffff allones_clr_both_b29
ffffffffbfffffff ffffffffffffffff allones_clr_d0_b30
ffffffffffffffff ffffffffbfffffff allones_clr_d1_b30
ffffffffbfffffff ffffffffbfffffff allones_clr_both_b30
ffffffff7fffffff ffffffffffffffff allones_clr_d0_b31
ffffffffffffffff ffffffff7fffffff allones_clr_d1_b31
ffffffff7fffffff ffffffff7fffffff allones_clr_both_b31
fffffffeffffffff ffffffffffffffff allones_clr_d0_b32
ffffffffffffffff fffffffeffffffff allones_clr_d1_b32
fffffffeffffffff fffffffeffffffff allones_clr_both_b32
fffffffdffffffff ffffffffffffffff allones_clr_d0_b33
ffffffffffffffff fffffffdffffffff allones_clr_d1_b33
fffffffdffffffff fffffffdffffffff allones_clr_both_b33
fffffffbffffffff ffffffffffffffff allones_clr_d0_b34
ffffffffffffffff fffffffbffffffff allones_clr_d1_b34
fffffffbffffffff fffffffbffffffff allones_clr_both_b34
fffffff7ffffffff ffffffffffffffff allones_clr_d0_b35
ffffffffffffffff fffffff7ffffffff allones_clr_d1_b35
fffffff7ffffffff fffffff7ffffffff allones_clr_both_b35
ffffffefffffffff ffffffffffffffff allones_clr_d0_b36
ffffffffffffffff ffffffefffffffff allones_clr_d1_b36
ffffffefffffffff ffffffefffffffff allones_clr_both_b36
ffffffdfffffffff ffffffffffffffff allones_clr_d0_b37
ffffffffffffffff ffffffdfffffffff allones_clr_d1_b37
ffffffdfffffffff ffffffdfffffffff allones_clr_both_b37
ffffffbfffffffff ffffffffffffffff allones_clr_d0_b38
ffffffffffffffff ffffffbfffffffff allones_clr_d1_b38
ffffffbfffffffff ffffffbfffffffff allones_clr_both_b38
ffffff7fffffffff ffffffffffffffff allones_clr_d0_b39
ffffffffffffffff ffffff7fffffffff allones_clr_d1_b39
ffffff7fffffffff ffffff7fffffffff allones_clr_both_b39
fffffeffffffffff ffffffffffffffff allones_clr_d0_b40
ffffffffffffffff fffffeffffffffff allones_clr_d1_b40
fffffeffffffffff fffffeffffffffff allones_clr_both_b40
fffffdffffffffff ffffffffffffffff allones_clr_d0_b41
ffffffffffffffff fffffdffffffffff allones_clr_d1_b41
fffffdffffffffff fffffdffffffffff allones_clr_both_b41
fffffbffffffffff ffffffffffffffff allones_clr_d0_b42
ffffffffffffffff fffffbffffffffff allones_clr_d1_b42
fffffbffffffffff fffffbffffffffff allones_clr_both_b42
fffff7ffffffffff ffffffffffffffff allones_clr_d0_b43
ffffffffffffffff fffff7ffffffffff allones_clr_d1_b43
fffff7ffffffffff fffff7ffffffffff allones_clr_both_b43
ffffefffffffffff ffffffffffffffff allones_clr_d0_b44
ffffffffffffffff ffffefffffffffff allones_clr_d1_b44
ffffefffffffffff ffffefffffffffff allones_clr_both_b44
ffffdfffffffffff ffffffffffffffff allones_clr_d0_b45
ffffffffffffffff ffffdfffffffffff allones_clr_d1_b45
ffffdfffffffffff ffffdfffffffffff allones_clr_both_b45
ffffbfffffffffff ffffffffffffffff allones_clr_d0_b46
ffffffffffffffff ffffbfffffffffff allones_clr_d1_b46
ffffbfffffffffff ffffbfffffffffff allones_clr_both_b46
ffff7fffffffffff ffffffffffffffff allones_clr_d0_b47
ffffffffffffffff ffff7fffffffffff allones_clr_d1_b47
ffff7fffffffffff ffff7fffffffffff allones_clr_both_b47
fffeffffffffffff ffffffffffffffff allones_clr_d0_b48
ffffffffffffffff fffeffffffffffff allones_clr_d1_b48
fffeffffffffffff fffeffffffffffff allones_clr_both_b48
fffdffffffffffff ffffffffffffffff allones_clr_d0_b49
ffffffffffffffff fffdffffffffffff allones_clr_d1_b49
fffdffffffffffff fffdffffffffffff allones_clr_both_b49
fffbffffffffffff ffffffffffffffff allones_clr_d0_b50
ffffffffffffffff fffbffffffffffff allones_clr_d1_b50
fffbffffffffffff fffbffffffffffff allones_clr_both_b50
fff7ffffffffffff ffffffffffffffff allones_clr_d0_b51
ffffffffffffffff fff7ffffffffffff allones_clr_d1_b51
fff7ffffffffffff fff7ffffffffffff allones_clr_both_b51
ffefffffffffffff ffffffffffffffff allones_clr_d0_b52
ffffffffffffffff ffefffffffffffff allones_clr_d1_b52
ffefffffffffffff ffefffffffffffff allones_clr_both_b52
ffdfffffffffffff ffffffffffffffff allones_clr_d0_b53
ffffffffffffffff ffdfffffffffffff allones_clr_d1_b53
ffdfffffffffffff ffdfffffffffffff allones_clr_both_b53
ffbfffffffffffff ffffffffffffffff allones_clr_d0_b54
ffffffffffffffff ffbfffffffffffff allones_clr_d1_b54
ffbfffffffffffff ffbfffffffffffff allones_clr_both_b54
ff7fffffffffffff ffffffffffffffff allones_clr_d0_b55
ffffffffffffffff ff7fffffffffffff allones_clr_d1_b55
ff7fffffffffffff ff7fffffffffffff allones_clr_both_b55
feffffffffffffff ffffffffffffffff allones_clr_d0_b56
ffffffffffffffff feffffffffffffff allones_clr_d1_b56
feffffffffffffff feffffffffffffff allones_clr_both_b56
fdffffffffffffff ffffffffffffffff allones_clr_d0_b57
ffffffffffffffff fdffffffffffffff allones_clr_d1_b57
fdffffffffffffff fdffffffffffffff allones_clr_both_b57
fbffffffffffffff ffffffffffffffff allones_clr_d0_b58
ffffffffffffffff fbffffffffffffff allones_clr_d1_b58
fbffffffffffffff fbffffffffffffff allones_clr_both_b58
f7ffffffffffffff ffffffffffffffff allones_clr_d0_b59
ffffffffffffffff f7ffffffffffffff allones_clr_d1_b59
f7ffffffffffffff f7ffffffffffffff allones_clr_both_b59
efffffffffffffff ffffffffffffffff allones_clr_d0_b60
ffffffffffffffff efffffffffffffff allones_clr_d1_b60
efffffffffffffff efffffffffffffff allones_clr_both_b60
dfffffffffffffff ffffffffffffffff allones_clr_d0_b61
ffffffffffffffff dfffffffffffffff allones_clr_d1_b61
dfffffffffffffff dfffffffffffffff allones_clr_both_b61
bfffffffffffffff ffffffffffffffff allones_clr_d0_b62
ffffffffffffffff bfffffffffffffff allones_clr_d1_b62
bfffffffffffffff bfffffffffffffff allones_clr_both_b62
7fffffffffffffff ffffffffffffffff allones_clr_d0_b63
ffffffffffffffff 7fffffffffffffff allones_clr_d1_b63
7fffffffffffffff 7fffffffffffffff allones_clr_both_b63
0000000000000001 0000000000000001 low1_both
fffffffffffffffe fffffffffffffffe high63_both
0000000000000003 0000000000000003 low2_both
fffffffffffffffc fffffffffffffffc high62_both
0000000000000007 0000000000000007 low3_both
fffffffffffffff8 fffffffffffffff8 high61_both
000000000000000f 000000000000000f low4_both
fffffffffffffff0 fffffffffffffff0 high60_both
000000000000001f 000000000000001f low5_both
ffffffffffffffe0 ffffffffffffffe0 high59_both
000000000000003f 000000000000003f low6_both
ffffffffffffffc0 ffffffffffffffc0 high58_both
000000000000007f 000000000000007f low7_both
ffffffffffffff80 ffffffffffffff80 high57_both
00000000000000ff 00000000000000ff low8_both
ffffffffffffff00 ffffffffffffff00 high56_both
00000000000001ff 00000000000001ff low9_both
fffffffffffffe00 fffffffffffffe00 high55_both
00000000000003ff 00000000000003ff low10_both
fffffffffffffc00 fffffffffffffc00 high54_both
00000000000007ff 00000000000007ff low11_both
fffffffffffff800 fffffffffffff800 high53_both
0000000000000fff 0000000000000fff low12_both
fffffffffffff000 fffffffffffff000 high52_both
0000000000001fff 0000000000001fff low13_both
ffffffffffffe000 ffffffffffffe000 high51_both
0000000000003fff 0000000000003fff low14_both
ffffffffffffc000 ffffffffffffc000 high50_both
0000000000007fff 0000000000007fff low15_both
ffffffffffff8000 ffffffffffff8000 high49_both
000000000000ffff 000000000000ffff low16_both
ffffffffffff0000 ffffffffffff0000 high48_both
000000000001ffff 000000000001ffff low17_both
fffffffffffe0000 fffffffffffe0000 high47_both
000000000003ffff 000000000003ffff low18_both
fffffffffffc0000 fffffffffffc0000 high46_both
000000000007ffff 000000000007ffff low19_both
fffffffffff80000 fffffffffff80000 high45_both
00000000000fffff 00000000000fffff low20_both
fffffffffff00000 fffffffffff00000 high44_both
00000000001fffff 00000000001fffff low21_both
ffffffffffe00000 ffffffffffe00000 high43_both
00000000003fffff 00000000003fffff low22_both
ffffffffffc00000 ffffffffffc00000 high42_both
00000000007fffff 00000000007fffff low23_both
ffffffffff800000 ffffffffff800000 high41_both
0000000000ffffff 0000000000ffffff low24_both
ffffffffff000000 ffffffffff000000 high40_both
0000000001ffffff 0000000001ffffff low25_both
fffffffffe000000 fffffffffe000000 high39_both
0000000003ffffff 0000000003ffffff low26_both
fffffffffc000000 fffffffffc000000 high38_both
0000000007ffffff 0000000007ffffff low27_both
fffffffff8000000 fffffffff8000000 high37_both
000000000fffffff 000000000fffffff low28_both
fffffffff0000000 fffffffff0000000 high36_both
000000001fffffff 000000001fffffff low29_both
ffffffffe0000000 ffffffffe0000000 high35_both
000000003fffffff 000000003fffffff low30_both
ffffffffc0000000 ffffffffc0000000 high34_both
000000007fffffff 000000007fffffff low31_both
ffffffff80000000 ffffffff80000000 high33_both
00000000ffffffff 00000000ffffffff low32_both
ffffffff00000000 ffffffff00000000 high32_both
00000001ffffffff 00000001ffffffff low33_both
fffffffe00000000 fffffffe00000000 high31_both
00000003ffffffff 00000003ffffffff low34_both
fffffffc00000000 fffffffc00000000 high30_both
00000007ffffffff 00000007ffffffff low35_both
fffffff800000000 fffffff800000000 high29_both
0000000fffffffff 0000000fffffffff low36_both
fffffff000000000 fffffff000000000 high28_both
0000001fffffffff 0000001fffffffff low37_both
ffffffe000000000 ffffffe000000000 high27_both
0000003fffffffff 0000003fffffffff low38_both
ffffffc000000000 ffffffc000000000 high26_both
0000007fffffffff 0000007fffffffff low39_both
ffffff8000000000 ffffff8000000000 high25_both
000000ffffffffff 000000ffffffffff low40_both
ffffff0000000000 ffffff0000000000 high24_both
000001ffffffffff 000001ffffffffff low41_both
fffffe0000000000 fffffe0000000000 high23_both
000003ffffffffff 000003ffffffffff low42_both
fffffc0000000000 fffffc0000000000 high22_both
000007ffffffffff 000007ffffffffff low43_both
fffff80000000000 fffff80000000000 high21_both
00000fffffffffff 00000fffffffffff low44_both
fffff00000000000 fffff00000000000 high20_both
00001fffffffffff 00001fffffffffff low45_both
ffffe00000000000 ffffe00000000000 high19_both
00003fffffffffff 00003fffffffffff low46_both
ffffc00000000000 ffffc00000000000 high18_both
00007fffffffffff 00007fffffffffff low47_both
ffff800000000000 ffff800000000000 high17_both
0000ffffffffffff 0000ffffffffffff low48_both
ffff000000000000 ffff000000000000 high16_both
0001ffffffffffff 0001ffffffffffff low49_both
fffe000000000000 fffe000000000000 high15_both
0003ffffffffffff 0003ffffffffffff low50_both
fffc000000000000 fffc000000000000 high14_both
0007ffffffffffff 0007ffffffffffff low51_both
fff8000000000000 fff8000000000000 high13_both
000fffffffffffff 000fffffffffffff low52_both
fff0000000000000 fff0000000000000 high12_both
001fffffffffffff 001fffffffffffff low53_both
ffe0000000000000 ffe0000000000000 high11_both
003fffffffffffff 003fffffffffffff low54_both
ffc0000000000000 ffc0000000000000 high10_both
007fffffffffffff 007fffffffffffff low55_both
ff80000000000000 ff80000000000000 high9_both
00ffffffffffffff 00ffffffffffffff low56_both
ff00000000000000 ff00000000000000 high8_both
01ffffffffffffff 01ffffffffffffff low57_both
fe00000000000000 fe00000000000000 high7_both
03ffffffffffffff 03ffffffffffffff low58_both
fc00000000000000 fc00000000000000 high6_both
07ffffffffffffff 07ffffffffffffff low59_both
f800000000000000 f800000000000000 high5_both
0fffffffffffffff 0fffffffffffffff low60_both
f000000000000000 f000000000000000 high4_both
1fffffffffffffff 1fffffffffffffff low61_both
e000000000000000 e000000000000000 high3_both
3fffffffffffffff 3fffffffffffffff low62_both
c000000000000000 c000000000000000 high2_both
7fffffffffffffff 7fffffffffffffff low63_both
8000000000000000 8000000000000000 high1_both
0000000000000001 0000000000000001 bit0_both
0000000000000002 0000000000000002 bit1_both
0000000000000004 0000000000000004 bit2_both
0000000000000008 0000000000000008 bit3_both
0000000000000010 0000000000000010 bit4_both
0000000000000020 0000000000000020 bit5_both
0000000000000040 0000000000000040 bit6_both
0000000000000080 0000000000000080 bit7_both
0000000000000100 0000000000000100 bit8_both
0000000000000200 0000000000000200 bit9_both
0000000000000400 0000000000000400 bit10_both
0000000000000800 0000000000000800 bit11_both
0000000000001000 0000000000001000 bit12_both
0000000000002000 0000000000002000 bit13_both
0000000000004000 0000000000004000 bit14_both
0000000000008000 0000000000008000 bit15_both
0000000000010000 0000000000010000 bit16_both
0000000000020000 0000000000020000 bit17_both
0000000000040000 0000000000040000 bit18_both
0000000000080000 0000000000080000 bit19_both
0000000000100000 0000000000100000 bit20_both
0000000000200000 0000000000200000 bit21_both
0000000000400000 0000000000400000 bit22_both
0000000000800000 0000000000800000 bit23_both
0000000001000000 0000000001000000 bit24_both
0000000002000000 0000000002000000 bit25_both
0000000004000000 0000000004000000 bit26_both
0000000008000000 0000000008000000 bit27_both
0000000010000000 0000000010000000 bit28_both
0000000020000000 0000000020000000 bit29_both
0000000040000000 0000000040000000 bit30_both
0000000080000000 0000000080000000 bit31_both
0000000100000000 0000000100000000 bit32_both
0000000200000000 0000000200000000 bit33_both
0000000400000000 0000000400000000 bit34_both
0000000800000000 0000000800000000 bit35_both
0000001000000000 0000001000000000 bit36_both
0000002000000000 0000002000000000 bit37_both
0000004000000000 0000004000000000 bit38_both
0000008000000000 0000008000000000 bit39_both
0000010000000000 0000010000000000 bit40_both
0000020000000000 0000020000000000 bit41_both
0000040000000000 0000040000000000 bit42_both
0000080000000000 0000080000000000 bit43_both
0000100000000000 0000100000000000 bit44_both
0000200000000000 0000200000000000 bit45_both
0000400000000000 0000400000000000 bit46_both
0000800000000000 0000800000000000 bit47_both
0001000000000000 0001000000000000 bit48_both
0002000000000000 0002000000000000 bit49_both
0004000000000000 0004000000000000 bit50_both
0008000000000000 0008000000000000 bit51_both
0010000000000000 0010000000000000 bit52_both
0020000000000000 0020000000000000 bit53_both
0040000000000000 0040000000000000 bit54_both
0080000000000000 0080000000000000 bit55_both
0100000000000000 0100000000000000 bit56_both
0200000000000000 0200000000000000 bit57_both
0400000000000000 0400000000000000 bit58_both
0800000000000000 0800000000000000 bit59_both
1000000000000000 1000000000000000 bit60_both
2000000000000000 2000000000000000 bit61_both
4000000000000000 4000000000000000 bit62_both
8000000000000000 8000000000000000 bit63_both
0000000000000001 0000000000000003 bit0_d0_3bit0_d1
0000000000000002 0000000000000006 bit1_d0_3bit1_d1
0000000000000004 000000000000000c bit2_d0_3bit2_d1
0000000000000008 0000000000000018 bit3_d0_3bit3_d1
0000000000000010 0000000000000030 bit4_d0_3bit4_d1
0000000000000020 0000000000000060 bit5_d0_3bit5_d1
0000000000000040 00000000000000c0 bit6_d0_3bit6_d1
0000000000000080 0000000000000180 bit7_d0_3bit7_d1
0000000000000100 0000000000000300 bit8_d0_3bit8_d1
0000000000000200 0000000000000600 bit9_d0_3bit9_d1
0000000000000400 0000000000000c00 bit10_d0_3bit10_d1
0000000000000800 0000000000001800 bit11_d0_3bit11_d1
0000000000001000 0000000000003000 bit12_d0_3bit12_d1
0000000000002000 0000000000006000 bit13_d0_3bit13_d1
0000000000004000 000000000000c000 bit14_d0_3bit14_d1
0000000000008000 0000000000018000 bit15_d0_3bit15_d1
0000000000010000 0000000000030000 bit16_d0_3bit16_d1
0000000000020000 0000000000060000 bit17_d0_3bit17_d1
0000000000040000 00000000000c0000 bit18_d0_3bit18_d1
0000000000080000 0000000000180000 bit19_d0_3bit19_d1
0000000000100000 0000000000300000 bit20_d0_3bit20_d1
0000000000200000 0000000000600000 bit21_d0_3bit21_d1
0000000000400000 0000000000c00000 bit22_d0_3bit22_d1
0000000000800000 0000000001800000 bit23_d0_3bit23_d1
0000000001000000 0000000003000000 bit24_d0_3bit24_d1
0000000002000000 0000000006000000 bit25_d0_3bit25_d1
0000000004000000 000000000c000000 bit26_d0_3bit26_d1
0000000008000000 0000000018000000 bit27_d0_3bit27_d1
0000000010000000 0000000030000000 bit28_d0_3bit28_d1
0000000020000000 0000000060000000 bit29_d0_3bit29_d1
0000000040000000 00000000c0000000 bit30_d0_3bit30_d1
0000000080000000 0000000180000000 bit31_d0_3bit31_d1
0000000100000000 0000000300000000 bit32_d0_3bit32_d1
0000000200000000 0000000600000000 bit33_d0_3bit33_d1
0000000400000000 0000000c00000000 bit34_d0_3bit34_d1
0000000800000000 0000001800000000 bit35_d0_3bit35_d1
0000001000000000 0000003000000000 bit36_d0_3bit36_d1
0000002000000000 0000006000000000 bit37_d0_3bit37_d1
0000004000000000 000000c000000000 bit38_d0_3bit38_d1
0000008000000000 0000018000000000 bit39_d0_3bit39_d1
0000010000000000 0000030000000000 bit40_d0_3bit40_d1
0000020000000000 0000060000000000 bit41_d0_3bit41_d1
0000040000000000 00000c0000000000 bit42_d0_3bit42_d1
0000080000000000 0000180000000000 bit43_d0_3bit43_d1
0000100000000000 0000300000000000 bit44_d0_3bit44_d1
0000200000000000 0000600000000000 bit45_d0_3bit45_d1
0000400000000000 0000c00000000000 bit46_d0_3bit46_d1
0000800000000000 0001800000000000 bit47_d0_3bit47_d1
0001000000000000 0003000000000000 bit48_d0_3bit48_d1
0002000000000000 0006000000000000 bit49_d0_3bit49_d1
0004000000000000 000c000000000000 bit50_d0_3bit50_d1
0008000000000000 0018000000000000 bit51_d0_3bit51_d1
0010000000000000 0030000000000000 bit52_d0_3bit52_d1
0020000000000000 0060000000000000 bit53_d0_3bit53_d1
0040000000000000 00c0000000000000 bit54_d0_3bit54_d1
0080000000000000 0180000000000000 bit55_d0_3bit55_d1
0100000000000000 0300000000000000 bit56_d0_3bit56_d1
0200000000000000 0600000000000000 bit57_d0_3bit57_d1
0400000000000000 0c00000000000000 bit58_d0_3bit58_d1
0800000000000000 1800000000000000 bit59_d0_3bit59_d1
1000000000000000 3000000000000000 bit60_d0_3bit60_d1
2000000000000000 6000000000000000 bit61_d0_3bit61_d1
4000000000000000 c000000000000000 bit62_d0_3bit62_d1
ffffffffffffffff 0000000000000001 allones_d0_1_d1
ffffffffffffffff 0000000000000003 allones_d0_3_d1
ffffffffffffffff 0000000000000005 allones_d0_5_d1
ffffffffffffffff 0000000000000007 allones_d0_7_d1
ffffffffffffffff 00000000000000ff allones_d0_ff_d1
ffffffffffffffff 0000000100000000 allones_d0_100000000_d1
ffffffffffffffff 8000000000000000 allones_d0_8000000000000000_d1
5555555555555555 5555555555555555 alt5_both
aaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaa altA_both
0f0f0f0f0f0f0f0f 0f0f0f0f0f0f0f0f nib0F_both
ff00ff00ff00ff00 ff00ff00ff00ff00 byteFF00_both
00000000ffffffff 00000000ffffffff lo32_both
ffffffff00000000 ffffffff00000000 hi32_both
e4d682499249e33f e4d682499249e33f rand_both_0
fce71b08e89c5b8e fce71b08e89c5b8e rand_both_1
fc2545b96af64ce7 fc2545b96af64ce7 rand_both_2
bf6418ffcb1dbdb9 bf6418ffcb1dbdb9 rand_both_3
db0939678490f6dd db0939678490f6dd rand_both_4
a5ee2bd7a5690383 a5ee2bd7a5690383 rand_both_5
ef9f9ed09d075705 ef9f9ed09d075705 rand_both_6
9485a483df1df36e 9485a483df1df36e rand_both_7
41e19865c7b9045c 41e19865c7b9045c rand_both_8
0442e8c66e059935 0442e8c66e059935 rand_both_9
94c7e4ba930a0e93 94c7e4ba930a0e93 rand_both_10
40d6a8801fb1f1a5 40d6a8801fb1f1a5 rand_both_11
0857b9377a5ed2a6 0857b9377a5ed2a6 rand_both_12
d3cf0aad417e626c d3cf0aad417e626c rand_both_13
afe02d19d98a86d7 afe02d19d98a86d7 rand_both_14
e3a3437a3993a92c e3a3437a3993a92c rand_both_15
b8a7b317d80339d7 b8a7b317d80339d7 rand_both_16
8542d0ad97b07fc5 8542d0ad97b07fc5 rand_both_17
2610832dc1399db7 2610832dc1399db7 rand_both_18
b1e62b26ed3bf090 b1e62b26ed3bf090 rand_both_19
d47c1b00f883f4ab d47c1b00f883f4ab rand_both_20
ff1804226bf06bbb ff1804226bf06bbb rand_both_21
62b1fa7e700a0b09 62b1fa7e700a0b09 rand_both_22
880590181b1d9292 880590181b1d9292 rand_both_23
61ccbfed5e8011bd 61ccbfed5e8011bd rand_both_24
020dc9f603ef3696 020dc9f603ef3696 rand_both_25
fedd6b66f005236b fedd6b66f005236b rand_both_26
1a32d54db7ba7871 1a32d54db7ba7871 rand_both_27
aa8bc06d3ebad611 aa8bc06d3ebad611 rand_both_28
8a8b0dd6a5ac4f6a 8a8b0dd6a5ac4f6a rand_both_29
ccccdaa1defea99a ccccdaa1defea99a rand_both_30
3bc563df4bdf471d 3bc563df4bdf471d rand_both_31
39abf36ebc06bc85 39abf36ebc06bc85 rand_both_32
944f8e5cdc7f571a 944f8e5cdc7f571a rand_both_33
e1e33f8a40ab9ed9 e1e33f8a40ab9ed9 rand_both_34
87eb8f5f4698c799 87eb8f5f4698c799 rand_both_35
234083abb6ee47a3 234083abb6ee47a3 rand_both_36
ec6a90a8bc4d4af6 ec6a90a8bc4d4af6 rand_both_37
bbdd5863e66666f8 bbdd5863e66666f8 rand_both_38
7f7ac5df2f0e7a0f 7f7ac5df2f0e7a0f rand_both_39
a4f4518b77ad7d74 a4f4518b77ad7d74 rand_both_40
ec69ae142037f6a8 ec69ae142037f6a8 rand_both_41
05f9fc513e342939 05f9fc513e342939 rand_both_42
fbb275ea7497d4b3 fbb275ea7497d4b3 rand_both_43
fa07580cba756230 fa07580cba756230 rand_both_44
c249b8179fa7fabc c249b8179fa7fabc rand_both_45
8b93f1e48412cd4c 8b93f1e48412cd4c rand_both_46
75cba8be05d2bfbd 75cba8be05d2bfbd rand_both_47
b660b6b3f77a4f2d b660b6b3f77a4f2d rand_both_48
2e68c0846f4aed78 2e68c0846f4aed78 rand_both_49
cebfeb26734f1531 cebfeb26734f1531 rand_both_50
b01aa9299ad7db04 b01aa9299ad7db04 rand_both_51
1005cdea43c2e777 1005cdea43c2e777 rand_both_52
01a1a2f8293cd4aa 01a1a2f8293cd4aa rand_both_53
6e43b65785bddb6e 6e43b65785bddb6e rand_both_54
7b02eb2a2d646496 7b02eb2a2d646496 rand_both_55
b3a87c71c1c1b6c7 b3a87c71c1c1b6c7 rand_both_56
1230cbd80e0a7930 1230cbd80e0a7930 rand_both_57
54f143415c991df1 54f143415c991df1 rand_both_58
e63ffaa19d9435da e63ffaa19d9435da rand_both_59
