# controls: random and low-weight pairs
1 71 5b R1_random
240 cd942d481099ff42f3fbbf2182e7da7ac3e48a3e7da6ac454203ecfe85d741b807f64acbc39cb70ce60c690b09c76d651fe51a78c244fa1f80fab5771aea9b2d6d6ff9c34b72dc919af7d3fd905ba9d58dedb312e603b088e9d89f52be524f11b8b0a9ba97f7e67679823faf30240c974597d6106ff7b37d528bf2ce9bd0884b5e90358bcd68c1ef6cc165b7c18e814daade3bc90bac8fa98b223f5f151c82f5974c03719f2d20d8f91eb706a5c6abeeaf93f0111088cf66974178569b8e26c33a3e9e7db38585b41b6341df88e48e96867cc025406a2d66c997f84045e30a6a794d0dc7f63ddfd555df106c16876ec4 2835621ea975f009c2752797a4f509c85e979d599c6912a492867af29010b1f7826a39a3679f925c96c04497e4ed6077102c74abd2b7d77f86cbdb9c726410d03850956f46fe02208d22ab3b467f05a76ae9aaaeae185929af445fc566b4981f194cd9196de603a85d86e1d32b3146cf20b37fa918537969a4d13f416cd375fe92ab6a600b7766eb9730578944dd48102c69e0bb1f139877d537fc7d816d6521deedccf4162c0b91bb870543bf3259d4cd2f1ae53814816c6dfb41009d8dc12a847398db807934472c32d379bb3277f764177ac6a3d30f93f101ff332f6eeef2ffeb242d48f706753ed0ba69e42b9acc R240_random
241 9d9760deee28225dee056224842f2c7393561b5e955ad24f75434aa2121468c2af515fdb611af58b64a3995c9f6a08e989e5476750ea42573a043d90791e013d69931d9654455b17ab1b5cfcff133f562abe513189ecaffc0dfbe930b424c20322dbe38f65010489e8256349131435bc43c78bd3b86a654ecf6017bb796c81c9fbcb936a8cc399e3a997c18a7ad3619f11597cb045a03e3e9d813f80264aa2e55f66095703d0ba91fd5c16885528b900361f654bc6644a0426f946e545ad7c71ecc720b5c6ebd237cc0deed9cba8ea037627a30fe3b79053d69832e423b72570ea2d960a847a3357019e2157c5dbc96509 51331052530247aa74c29026501108d39628fb497c2f104d1ce3134b00bcf2abef55afed9ef9a33530ff48c591e227217066fe033a38285a43f3da1e2bfa62e2887a5108806e4ea7fc5bc249bcec32a1d500dbec765bf9fd39e9bb7afba16ccec45d4775a855f8abbdc3d6bd369b2c9b9a4f9d5904453d4cbe8885fc998824f1a4b0167f08eacf244b3308e8f464d94ca4c81e3f7e0617303598c6eea654eef9e6534971269353c07799c5d333233d315d4384a6c6a954adcfe80335719aa38294c4285737f49815744080bb4fb12cedbbc3b0c74e8595fa85dd3aea7c29a6ec1e77b36e721e9d53446ad53f1778ae7800 R241_random
248 595e82ee039c2d0c1544d30542a1bf27262213aa24cb04763075b3f019761ee9bcb57411a902167adc012caeb7fc71a7875c0b0e0759f310b5b1ea2aac1dc50287fb34a1fe1cff35d341e3f51c294dbc6d79f089b153fe7e52885f299e2f9144b89c85a13cc47604359026605679128aa28933b9712798c29e042102c5f8247d67300f95a0187df0ae3aa7cddad4e69df7f55eeee092b3a44218f52e89f1ada78ca1073598e3aa5509f70e5f06f90c798ef0bfc40e19cda9bdcd99b7fe642e704f470608d4f13747ae45107efb4b2b37e9ae45ede3c764ab89a0981ff38c7a6655f0da2e9ea8834c9908566b358a33cb6973041c76c132b3 a1b12ece8e25ca9802eb8ac8a562be78dc789304acdfec10f65b7c4eb107d3bd7dd2ff39ee34d4d5f6c29fbf7181984513da8398ae5f4c91fbf2437be6dd34e172baf190a5f1f2f472e694b6a78ad7c7c1868a71bcb64fca1977e9ccc118ed5b1cdcc5e0c32b579157c1971b849c7216f7a59e924b0d7f98512a07e5fd52194955099b56cbac73ff09cf96d4a54ec05e02cd835aa8dc15d74cf253e4fc35956f735ae187b79678fe6a084c5f555a552258f1279fc83f8d51e0016013ecb0cc9e72ecf2538cfb46dc20dfa06e63da13098eb837db251b9800a172fe80859e51a47afc55cfd473c42c8f18dac5b23b5928103c9e64b47bdf1e R248_random
256 4feafffa456f6b5a982a03af892d3947a48c1ec26151b218b7476f16f31b7c71c780527a96893c9087e8f92814414c4866bbac587db4ebd46d2065d6eee66bfe416e3f73517da394701923f651a7ce275d0fa1489138c6288d0b40f5269cc192f7bdacb5985f535113c30f7bb54d54e1066058679eb4ec041e84950bd50d908de32a3f6363a3873dbe6fca15dad1efc22a797fbb5872dc81862a8bcb9274f553935483051dc298e80c05c2fc949bdf1bb90d97f0eaeb6a554e6b79f6651f1d0558b5f8c486779db7c99a3e22cd1dc5ff481c114f5e43a6b71ba2d611df87d8d66922841e4df4ca5eeda36f72c68207acda2de87a7404d0223644a0b3d1721fcd 4fd31a8d8ad64a4828bd105a4da683b2c236f0f73f45eced6f24205053955be4ebd76f28b18db42e26d0aeee7a4fe9b9a3d1dc69bdeb32ce1cfd8a835fc58c8f825b6ce6acfd6a2ac9f2b5558414b7ed3b0f909df87087d34a26aa3096b88ce3ca753c7b7de60752cff5edbc415c7d7fba0837664ffdc5f0671c73a752066c82af28d529ef68dbc7d09c702e769709b3d67961c890e1bc4809b3effdfbf9997f1e1a839f49fd1f427d6ea24afb7b13dd51884ac8c93d9ec782eafff56e4dcabfaf6ead554ef845a00e752e93d700a47dae3eaa5735d79a82482909fe305c1b4c36b2b75c5a7c757dea0d3765ce2604c7acdd431ffcc505258969c5dd904b6df4 R256_random
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 46f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit0
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 45f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit1
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 43f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit2
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 4ff867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit3
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 57f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit4
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 67f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit5
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 07f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit6
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af c7f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit7
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f967d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit8
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47fa67d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit9
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47fc67d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit10
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f067d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit11
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47e867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit12
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47d867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit13
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47b867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit14
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 477867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit15
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f866d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit16
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f865d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit17
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f863d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit18
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f86fd36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit19
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f877d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit20
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f847d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit21
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f827d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit22
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f8e7d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit23
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d26868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit24
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d16868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit25
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d76868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit26
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867db6868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit27
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867c36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit28
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867f36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit29
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867936868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit30
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867536868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit31
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36968571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit32
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36a68571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit33
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36c68571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit34
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36068571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit35
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d37868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit36
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d34868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit37
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d32868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit38
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d3e868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit39
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36869571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit40
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d3686a571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit41
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d3686c571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit42
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36860571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit43
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36878571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit44
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36848571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit45
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36828571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit46
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d368e8571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit47
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868561c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit48
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868551c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit49
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868531c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit50
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d368685f1c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit51
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868471c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit52
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868771c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit53
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868171c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit54
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868d71c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit55
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571d6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit56
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571e6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit57
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d3686857186bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit58
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d3686857146bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit59
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868570c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit60
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868573c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit61
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868575c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit62
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868579c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit63
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6adcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit64
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c69dcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit65
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6fdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit66
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c63dcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit67
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c7bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit68
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c4bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit69
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c2bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit70
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571cebdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit71
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bddaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit72
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdeaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit73
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bd8aaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit74
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bd4aaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit75
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bccaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit76
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bfcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit77
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6b9caaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit78
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6b5caaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit79
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdcabf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit80
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdca8f2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit81
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdcaef2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit82
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdca2f2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit83
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdcbaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit84
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdc8af2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit85
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdceaf2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit86
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdc2af2188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit87
32 47f867d36868571c6bdcaaf2188edf5d67bf71a16c05759cc9b9f96559d903af 47f867d36868571c6bdcaaf3188edf5d67bf71a16c05759cc9b9f96559d903af B32_bit88
