sweep: random seed + 8 random secret words per key, 2^28 keys per candidate, rngseed 41
lastbit                      len   5/  5 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
append00                     len   5/  6 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
appenddup                    len   5/  6 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
same5a/len+1                 len   5/  6 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
zero/len+1                   len   5/  6 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
cw0                          len   6/  6 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
bit0                         len   6/  6 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
lastbit                      len   6/  6 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
append00                     len   6/  7 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
appenddup                    len   6/  7 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
same5a/len+1                 len   6/  7 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
zero/len+1                   len   6/  7 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
cw0                          len   7/  7 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
bit0                         len   7/  7 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
lastbit                      len   7/  7 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
append00                     len   7/  8 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
appenddup                    len   7/  8 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
same5a/len+1                 len   7/  8 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
zero/len+1                   len   7/  8 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
cw0                          len   8/  8 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
bit0                         len   8/  8 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
lastbit                      len   8/  8 L=1 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 28.00 bits
append00                     len   8/  9 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
appenddup                    len   8/  9 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
same5a/len+1                 len   8/  9 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
zero/len+1                   len   8/  9 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
cw0                          len   9/  9 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
cw1                          len   9/  9 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
cw0+1                        len   9/  9 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
bit0                         len   9/  9 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
lastbit                      len   9/  9 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
append00                     len   9/ 10 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
appenddup                    len   9/ 10 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
same5a/len+1                 len   9/ 10 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
zero/len+1                   len   9/ 10 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
cw0                          len  10/ 10 L=2 : 0 / 268435456  rate < 2^-28.0 (floor)  cap > 29.00 bits
