upstream t1ha_selfcheck__t1ha2_atonce(): ok
SMHasher3 verification value 8f16c948 (want 8f16c948) ok
m1 len=13 m2 len=16 l0=cc872e34ea2e9b3b t=000000a68fa136de
hit thread=6 seed=86a4fc724ec74041 H=a583d7a3a7ed42d7 L=6ae3077b1cb73d98 inclass=1
hit thread=7 seed=ab2ae8a350908cc1 H=6b329b285440cc66 L=60e90f1d1b743618 inclass=1
hit thread=7 seed=27821b6f68ec8115 H=97d7dddab2ebd991 L=68e9a9551f173fac inclass=1
hit thread=3 seed=8a18db396ae139d1 H=cbda113f7d15607e L=68e80c5d1c523588 inclass=1
hit thread=3 seed=272680d520a261ac H=da0bbf306c8e59aa L=68e986711b013e0d inclass=1
hit thread=0 seed=e3aad20544c2d9c8 H=2579b482ecda308f L=289b0b031fd63e89 inclass=1
hit thread=3 seed=68beb90f045fe031 H=77f5268dffb1cf08 L=22cb271519a134a8 inclass=1
hit thread=5 seed=2d34555d6d6c859c H=53ea8068fd13dbf4 L=38f9a00b19c1359d inclass=1
hit thread=2 seed=0780550f533e9998 H=991fb251c9288159 L=7092261b1d013cb9 inclass=1
hit thread=0 seed=03108838a27b7c21 H=81768102a7701d82 L=70f8002b1c203438 inclass=1
hit thread=7 seed=8c3c99fedf278115 H=e038538ea4fb7b5d L=32d2236f19e63fac inclass=1
hit thread=2 seed=e88c9ec0a18c1d05 H=8403f50a587ce3c9 L=38d303391bb23f3c inclass=1
hit thread=6 seed=af84037543811895 H=db3bc3967091ccaa L=28f3af3719723d2c inclass=1
hit thread=6 seed=ef9600eb8caa4435 H=08eeb9b13620fb54 L=62f90b5b1bc2358c inclass=1
hit thread=0 seed=e29048bdc9131c18 H=2f42d9b7e2602906 L=2af1a5551dd73d39 inclass=1
hit thread=4 seed=8a1e6c5b3368859c H=f8757a8490d221d6 L=78808a7518a5359d inclass=1
hit thread=0 seed=8e3c553e608d7485 H=6e4916b10ffc7dd8 L=7289857b1e813cbc inclass=1
hit thread=2 seed=07a43f395bbcc4c1 H=ee6d6643da11b9e7 L=78d8072f1ff03e18 inclass=1
hit thread=3 seed=6d0c8cbf97f5d0c8 H=32dea37b2bd5c771 L=6298061d18763f89 inclass=1
hit thread=7 seed=aea23b4e81e8f49c H=88243f1ddc83379d L=388b0a491ed63e9d inclass=1
hit thread=6 seed=e73e53d6cd84e518 H=2cfca0ac6d11750a L=32f8856f18b33c39 inclass=1
hit thread=7 seed=2e92423df1f3b805 H=40798e9e35517c1f L=3ab825371d52343c inclass=1
hit thread=6 seed=4a32a7cb1f710da8 H=308514f8d9ac79e7 L=30f1880518163d29 inclass=1
hit thread=6 seed=eb3298738c0a2198 H=6822e48806b979ea L=32a08a291e6634b9 inclass=1
hit thread=2 seed=6daa50c603054435 H=70f78adfe296c7d2 L=3af180311bf1358c inclass=1
hit thread=7 seed=28a2b88d25a12c15 H=6866889b702d8873 L=62da85511a7234ac inclass=1
hit thread=3 seed=edb88e3575959998 H=c14900242815f97e L=30b9ad791e143cb9 inclass=1
hit thread=5 seed=2b0cd944b6158535 H=2355118008cc46ad L=6ae280171a273c8c inclass=1
hit thread=6 seed=ee1a30647f9f5898 H=8fbb764e1a57e432 L=2aea0c4b1c3435b9 inclass=1
hit thread=6 seed=6996b03330b864fc H=a4cf7a5631651e7b L=38f92c791d5435bd inclass=1
hit thread=0 seed=0e20d2fb5457f005 H=ffb67c60dfb81be3 L=6a91a57f19563c3c inclass=1
hit thread=4 seed=e48ccff709c09d0c H=ad49dae1f2138e6a L=708b032318f734ad inclass=1
hit thread=7 seed=0704b971eb8f217c H=c0efc29407b9bf03 L=608b247518d53c3d inclass=1
hit thread=3 seed=672ea73310201da1 H=5411661658a34554 L=70a304031d2437b8 inclass=1
hit thread=2 seed=ab2e95fffa61381c H=8a6fcd4374988565 L=32eaa2131a77361d inclass=1
hit thread=4 seed=afac7d6bacf24531 H=0617b9f7a5fcb419 L=78c301331ef73fa8 inclass=1
hit thread=7 seed=2c2e5c1a7940bc51 H=b56c6fb8640233ad L=72f18d151d513608 inclass=1
hit thread=6 seed=83b02349b1ad217c H=b7c1af236b613f5a L=78e8ad231a273c3d inclass=1
hit thread=3 seed=8896cee28d3d408c H=651745e8a312a2ae L=68e9ae6318b63e2d inclass=1
hit thread=5 seed=423c201cf0764941 H=449f0e0cf32f5b4b L=70dba52f1f053c98 inclass=1
hit thread=5 seed=0e2084a007fc791c H=27d21685220c155b L=60e0240f18813d1d inclass=1
hit thread=2 seed=a99ea05283240825 H=ce50cbe7eabc1c26 L=30a0a9151c623d1c inclass=1
hit thread=1 seed=e83a5c9f7d4f5da5 H=282bcf9d77005663 L=62fa0a0118e1349c inclass=1
hit thread=5 seed=2c28ee313cb78535 H=5ecb23b58d2cab7c L=3ad203651b153c8c inclass=1
hit thread=6 seed=2a0e687f13d1859c H=89850d1d68d7cca3 L=62e3260118d6359d inclass=1
hit thread=5 seed=0db875c46b212c15 H=993704fde6c8c86b L=32eb08351ff234ac inclass=1
hit thread=0 seed=073a09799b3864fc H=56bf66ade494dbac L=3adb0a791fd435bd inclass=1
hit thread=4 seed=4d824dee9d48ed48 H=6f983959835c0e17 L=72f80a171b203609 inclass=1
hit thread=3 seed=258c9b1a34d2a418 H=daf4e5be6b196d10 L=6ad3207919163539 inclass=1
hit thread=1 seed=2f0221aa3436bc35 H=e63fe69c6b746607 L=28f22f211bc53d8c inclass=1
hit thread=5 seed=0e92917ad8624531 H=23cea0fb2a57bd0f L=20db8b731ae73fa8 inclass=1
hit thread=5 seed=e33e8769ee6164fc H=ed8462ba70ee5a0e L=70d12d5f1e8535bd inclass=1
hit thread=4 seed=eb9a9f381090a505 H=c300f942becff579 L=3ab88c1519a6373c inclass=1
hit thread=7 seed=e8bc1ff7ad9ea5fc H=fb715842e4449038 L=229b86331dc43cbd inclass=1
hit thread=2 seed=633892b346db701c H=48ac117ae52658b5 L=78b8212718b53e1d inclass=1
hit thread=6 seed=62aea9c801f2587c H=1244fc01c9548be5 L=7298274f19613d3d inclass=1
hit thread=2 seed=001aba78450739b5 H=237db1d53f203f3c L=7a9a874b1cf63d0c inclass=1
hit thread=2 seed=a21a6433ccbe6db1 H=8ce42eb2151a1433 L=28e38b091ef03428 inclass=1
hit thread=0 seed=602e3978785d98ac H=0b53c2360d888b3d L=28e306051ba03f0d inclass=1
hit thread=5 seed=8820e8ea6aae3438 H=94083c712898022f L=3a8a072d18853e19 inclass=1
hit thread=1 seed=6a2eba3fa7b25c48 H=1f566de103f60a6a L=20a2250f1ed73f09 inclass=1
hit thread=6 seed=aa187e647948f0a1 H=f07bb0440f8736f0 L=60da2d651c8134b8 inclass=1
hit thread=6 seed=61aee88ca3b420ac H=e96ea84ca0d796a3 L=2ad3af311840370d inclass=1
hit thread=2 seed=49b80cafd68a55a1 H=6a6b77452ac34ae4 L=6883aa0d1dd23fb8 inclass=1
hit thread=0 seed=012e671a7c897c21 H=5e30ccf72e3bf8c3 L=229824651a623438 inclass=1
hit thread=7 seed=ab3605fc5c7a68d1 H=0260b6875b57c300 L=2afb050319a03e88 inclass=1
hit thread=1 seed=07be99d4ab3b9921 H=bce58ce1a14cc010 L=20bba84d1ce23738 inclass=1
hit thread=5 seed=a102e868ab5979b8 H=3e569e97f78fc64c L=6a800a151aa43599 inclass=1
hit thread=0 seed=2e1e9583f13c4d35 H=8b00852c5c0df6aa L=228b85751cf7348c inclass=1
hit thread=5 seed=42148ad52f46f0a1 H=3cd7bd127abed67a L=2089a5211cf334b8 inclass=1
hit thread=1 seed=02888f9d3ca18551 H=9f54208b2785b685 L=2ad980091a413508 inclass=1
hit thread=0 seed=e6b62359dab4e031 H=d835032de6307491 L=20808e0d1bc234a8 inclass=1
hit thread=1 seed=463adb3439ab39b5 H=1a0137b99d55449d L=7aa0846919723d0c inclass=1
hit thread=2 seed=e39686aca7a04d35 H=978cd251cb85c358 L=388bac4b1e93348c inclass=1
hit thread=6 seed=8c82eab27843f451 H=7f26f2ccebdc27d0 L=2881ab0f18603e08 inclass=1
hit thread=5 seed=843c66f55edd011c H=229d01a1ee8739e7 L=6ad88c1d1a92351d inclass=1
hit thread=3 seed=e392bff7c5fcad18 H=a897630db19e4979 L=22cbaf591e533439 inclass=1
hit thread=5 seed=4faa5f8f00ec381c H=5a6a053ebdb9649b L=20b305791b12361d inclass=1
hit thread=5 seed=210e272ccf10940c H=e72d1714e5fca574 L=28ba2025183035ad inclass=1
hit thread=2 seed=e73ecc475ffe79b8 H=c49c8a99ffdafa62 L=32da0b6919753599 inclass=1
hit thread=7 seed=2684457b52adf005 H=cce94134fe37b00d L=28d827051b903c3c inclass=1
hit thread=3 seed=e61004f749c4d121 H=50df974a7180e9f6 L=62f3a76d1c973f38 inclass=1
hit thread=5 seed=411896d0cd69c538 H=aaf208d3b6e8df32 L=2882a8731c233519 inclass=1
hit thread=0 seed=8a8445bdddad9185 H=aaf54df4eeda1fec L=32c9ab491a633fbc inclass=1
hit thread=0 seed=ad3e491a01a19d0c H=dd5c798819514b11 L=6aab00731ad034ad inclass=1
hit thread=2 seed=231a872cca9c498c H=aba3dfbb3334789c L=7088a66f19b43d2d inclass=1
hit thread=7 seed=8a96d811af613c85 H=e5f5330e76b7189f L=3af92a571f8534bc inclass=1
hit thread=4 seed=27ac61d4196830b5 H=7c070c5f23ed88e2 L=38a107571ed43e0c inclass=1
hit thread=0 seed=08b04f929ca15128 H=b7fbe95f8d35a97e L=789a06711de634a9 inclass=1
hit thread=4 seed=2ba2b1911fae011c H=8a1248dc264931c7 L=62a92c5f1cf7351d inclass=1
hit thread=5 seed=0604bb0db659ad18 H=6ddc7e12847e9572 L=70b22c231a103439 inclass=1
hit thread=3 seed=a0ba8e1ecb130da8 H=a734b24879b8af6e L=22a1ad251e843d29 inclass=1
hit thread=2 seed=8ab8f5864beda995 H=de4fa7f586c78526 L=28e389751a35342c inclass=1
hit thread=2 seed=28a01bcab6a8408c H=56845cdb3d9d4d46 L=38982b431c513e2d inclass=1
hit thread=2 seed=48385a7682b28028 H=610de0ccd43a6ee9 L=32bb2a271e433da9 inclass=1
hit thread=2 seed=419aca2072cd8cc1 H=8dc642e6046b644c L=2889211b1cb13618 inclass=1
hit thread=5 seed=eb92eb7c6a81791c H=99c3e9d05a50052c L=2ad108131eb63d1d inclass=1
hit thread=0 seed=09302f748c8b28a1 H=f4fab21b80f28413 L=7ac8015519d03cb8 inclass=1
hit thread=1 seed=4e1e1c81377c088c H=82259ae568695faf L=60d90c7f1a75362d inclass=1
hit thread=0 seed=2784afebf9be1c18 H=44a4486e654b9836 L=329308291d523d39 inclass=1
hit thread=2 seed=2a24869433a9b1b8 H=9d0ccbdd0000dc0b L=70c980631a433d99 inclass=1
hit thread=3 seed=e038225f4dbf217c H=24d58e71cecfffaf L=6ae1093b1b453c3d inclass=1
hit thread=6 seed=8cacfee69215f49c H=dad858ccb04a77ae L=32c80f111fe33e9d inclass=1
hit thread=6 seed=62025e591d9629ac H=45fa994eacf4203e L=30d32a751a85360d inclass=1
hit thread=3 seed=a518076eb5c639d1 H=9edd8a8ff3944e6d L=60928d3f1fe33588 inclass=1
hit thread=6 seed=8132c969753204a8 H=3153690aa83c88e3 L=60cb29491a943e29 inclass=1
hit thread=2 seed=0f0cccd61be030d1 H=5b14ece6e7a8ce47 L=72fb840b1a823688 inclass=1
hit thread=5 seed=4f0225211b64ed48 H=de7c06683f0bb4f7 L=72d005111ae43609 inclass=1
hit thread=5 seed=edb6d6e30591a8b8 H=c58e786a20b8a115 L=28b2240b19243e99 inclass=1
hit thread=4 seed=e51ce0ee9e071141 H=52ebd13dadeefbf5 L=6abb202d1a463498 inclass=1
hit thread=3 seed=e42a3214a572e518 H=fa148affad72655a L=688aa14d1d553c39 inclass=1
hit thread=2 seed=24aa47b726730da8 H=62cda813238aef2f L=288b085f18a43d29 inclass=1
hit thread=3 seed=2b1ea4a55070701c H=e0d04cee9469d1af L=7882a8251c163e1d inclass=1
hit thread=6 seed=85821de452e41da1 H=6d1a7e835682f021 L=6a8ba657190037b8 inclass=1
hit thread=1 seed=0b92fdf5c76e088c H=0f87e85b75d400b3 L=30a82c2b1873362d inclass=1
hit thread=5 seed=a820651fe3c829ac H=a95b890c835ce9d9 L=68eb860f18c3360d inclass=1
hit thread=6 seed=8fb2eec7b2184435 H=03524cea17a44412 L=38dba1691a64358c inclass=1
hit thread=5 seed=0facb2b555aa3d38 H=1333f09f22109ea9 L=38e92e4518003d19 inclass=1
hit thread=4 seed=63b0f8bad3b3381c H=df86b7692cd45f8f L=22828e1f1ed5361d inclass=1
hit thread=0 seed=ec00e08262abe518 H=cc9a3ca6846b8a41 L=228101591e763c39 inclass=1
hit thread=0 seed=2a1add960a46f0a1 H=bc9bc54156125b17 L=2ac8aa551ff334b8 inclass=1
hit thread=1 seed=0a847b0c8e5d2c15 H=5d102d69741165d4 L=328288711d3634ac inclass=1
hit thread=4 seed=2aae55f4dd10940c H=288f3680c09f7fae L=6aea085f1a3035ad inclass=1
hit thread=1 seed=a8228c5365c29098 H=2329bf24b86b69af L=2ad2ab0b1c663db9 inclass=1
hit thread=1 seed=29961f3ada6728a1 H=220278e4772a6ba3 L=20a206571b543cb8 inclass=1
hit thread=7 seed=010a803164b32198 H=52f768c0d6c8006b L=3ac3a145185734b9 inclass=1
hit thread=0 seed=6d34761ac7c19098 H=f37dc5114c43d383 L=60a3865d18113db9 inclass=1
hit thread=1 seed=0538952d763e79b8 H=7e928a75113df7cb L=68d3894f1db53599 inclass=1
hit thread=5 seed=e18cc2d1241239d1 H=5c49fe95a07a7d6b L=70a8ab7b1c973588 inclass=1
hit thread=1 seed=aea811f19459b421 H=fd71e1f39ef5bff5 L=3ae0027b1bc13c38 inclass=1
hit thread=7 seed=a8b6b05110c9bc51 H=1e143330748cb334 L=68f1a9011e423608 inclass=1
hit thread=1 seed=ae12b215b72fd925 H=0a191199f9900c51 L=7098ae091fb0341c inclass=1
hit thread=6 seed=25aa851cda7b4828 H=ab409292f9a87fc2 L=72ba2c71196535a9 inclass=1
hit thread=3 seed=a20a753e8f907485 H=7117aab0c1f09d3a L=62d308351c843cbc inclass=1
hit thread=2 seed=24824e3a84c1c4c1 H=c052346edb23607b L=2aa0210f1ca53e18 inclass=1
hit thread=6 seed=82ac4e0d4240940c H=295c1446d338eb87 L=28e12d551de035ad inclass=1
hit thread=1 seed=29b2c3f29fa5d121 H=9319545f82857e34 L=60c8a91f18703f38 inclass=1
hit thread=2 seed=a00e9be5801161c8 H=ae9bd1da4d2827fe L=32d187791e423689 inclass=1
hit thread=6 seed=681a95a89998217c H=f69a61b5a561e6a6 L=72cb0f7b1a823c3d inclass=1
hit thread=3 seed=efbe5e4d6559e448 H=0598a554f5ed9cb0 L=38a92f1d1a523709 inclass=1
hit thread=7 seed=22341dc0b71ab52c H=f1394222f9ca2a2e L=609a0a7f1d50358d inclass=1
hit thread=1 seed=8f149996edaa5128 H=05cb8528eee27da1 L=388a00551f7334a9 inclass=1
hit thread=6 seed=6b24a54e246468d1 H=0d0f4adb35d7a3de L=628ba37119663e88 inclass=1
hit thread=5 seed=8fbc0069c1b6118c H=dd78375b5cbac630 L=62d12d751da2352d inclass=1
hit thread=3 seed=ed8a2c94bf656db1 H=d4a29f2d38d08587 L=72800a791b933428 inclass=1
hit thread=4 seed=493e3ba850102198 H=1ac36cb282f375c5 L=70f920051e3034b9 inclass=1
hit thread=7 seed=edac3da238a771d1 H=64837e52c8aaf531 L=6aa2004318043d88 inclass=1
hit thread=0 seed=0b88293c6854d121 H=d89a9d8d8112906b L=30b3224b1aa73f38 inclass=1
hit thread=4 seed=ad9ee7c53aa97c21 H=a7c0c2680a29ba24 L=20ab0f651d423438 inclass=1
hit thread=4 seed=8b04c1ce254339d1 H=f70f07025619a97d L=60f8ab611f803588 inclass=1
hit thread=0 seed=0e94e60d8659b421 H=1d1a932f9161aeac L=28cb277d19c13c38 inclass=1
hit thread=2 seed=219ae4709a9298c8 H=a6ca0b492bcfa63b L=78c1043918473789 inclass=1
hit thread=1 seed=ea98812e65028cc1 H=c0598ac9bd454c23 L=62828b1919f23618 inclass=1
hit thread=3 seed=68a45faa96e4f451 H=4894863a0eb48384 L=38ba071b1a153e08 inclass=1
hit thread=1 seed=40864c292c271125 H=4172de284ec9da56 L=38d8a8591dc03c1c inclass=1
hit thread=5 seed=a508eaefe22a54a5 H=83abefb98ff0f1e4 L=78a088531e95359c inclass=1
hit thread=1 seed=21ac043915a2e031 H=6aa9e535984a04c8 L=78b023071da434a8 inclass=1
hit thread=7 seed=0a14356da7b12c15 H=e9da08b448770f92 L=6a9329451c0234ac inclass=1
hit thread=0 seed=498a9d5138ce1d05 H=6be2e6dfd109a37a L=3af1290b1a803f3c inclass=1
hit thread=2 seed=03bed8772027381c H=78829567bb6753cd L=32d024311ae1361d inclass=1
hit thread=7 seed=2a20cf397663408c H=047323278b26d8e3 L=32a82f3718a03e2d inclass=1
hit thread=1 seed=ed2419e43eadfd9c H=106ce22f46abed44 L=22e182351f823d9d inclass=1
hit thread=0 seed=ee8a3045fec5e07c H=c3f25db61a2f3c2d L=70faa8371b70353d inclass=1
hit thread=6 seed=2f20ef07b2020825 H=7b8cfe68d3eed132 L=20daa92f18f43d1c inclass=1
hit thread=6 seed=699a19c0fdca3c85 H=0bdb78ee573a3a32 L=68c906091db234bc inclass=1
hit thread=4 seed=a63af502f195859c H=5e1db3397af5c95b L=68c829311fb2359d inclass=1
hit thread=3 seed=6c1a7c1604eba995 H=4f479302ff13a3ea L=2ad00a131da7342c inclass=1
hit thread=5 seed=450eadaf3cf58ca5 H=b7451c37d8789098 L=7293027119833d9c inclass=1
hit thread=1 seed=8820434bcdfee448 H=15e78ae0ce9e422b L=388389131d233709 inclass=1
hit thread=0 seed=ad08aac41b3b39b5 H=2ac1edb5a518d841 L=20b204391e823d0c inclass=1
hit thread=0 seed=60a42995f4143d38 H=5477b3eee2155e94 L=38cbaa1518863d19 inclass=1
hit thread=7 seed=a29c2c89bb78c1b5 H=e5d121fc893a6e35 L=2ac88e4518b3350c inclass=1
hit thread=6 seed=2410554fb054dcb1 H=1628dced76e4421b L=32d1224f1c823d28 inclass=1
hit thread=0 seed=832c114aced1b52c H=511168e7485ab79b L=7ab20a271e83358d inclass=1
hit thread=1 seed=e91601e43d852548 H=31ec81bd884f5cd7 L=32c8854d18c53e09 inclass=1
hit thread=1 seed=0816e22cd28e98ac H=8296e8294edb06f9 L=608bac2d1ea53f0d inclass=1
hit thread=0 seed=a190b470a5ff3d38 H=60c243cfb06d9a0a L=308a8b7b1c253d19 inclass=1
hit thread=2 seed=e9bee5c0a13529ac H=36689b73363591f7 L=7288064b1890360d inclass=1
hit thread=6 seed=e1b8d18478d8e42c H=a84b3bd430a8a94f L=38b1aa031b333e8d inclass=1
hit thread=6 seed=8a90969a2f1f9185 H=3a87510c91eb9fb8 L=2ab82d7318213fbc inclass=1
hit thread=1 seed=8e026781b3918551 H=d0aacd5d4daa954b L=32b007531ff13508 inclass=1
hit thread=0 seed=2d26d21662524531 H=62e5af780e98ef14 L=38c004711b973fa8 inclass=1
hit thread=1 seed=699c1c0e988098ac H=01930dc94fa1f640 L=72d206071dc33f0d inclass=1
hit thread=0 seed=ab867768fd4df8b5 H=ff3fe21ed06212f7 L=62db2d371901360c inclass=1
hit thread=5 seed=493ee5ab3d7ba095 H=170f1def12d22196 L=7881a1471a20352c inclass=1
hit thread=5 seed=a59a710ea1dacca8 H=a9d4aad2d04df7fd L=30f2ac3b1b643629 inclass=1
hit thread=3 seed=47ac3caa88da088c H=118d389bc80af6e4 L=3af1af3f1987362d inclass=1
hit thread=5 seed=8a302a5ca79198c8 H=f7abdc8dc2d62d58 L=7ac98a1f1af23789 inclass=1
hit thread=2 seed=2faacb6f039204a8 H=a104e014c9bf3b03 L=28e0001318343e29 inclass=1
hit thread=4 seed=0098318dc41030d1 H=0f2894f0909f4454 L=62ea226b1f723688 inclass=1
hit thread=4 seed=e422538cc7de8ca5 H=257bec301e496ffe L=3889241918303d9c inclass=1
hit thread=4 seed=af866a5794b7791c H=ac57d7e37801dde3 L=62f9893b1dd03d1d inclass=1
hit thread=7 seed=840a265f198a2198 H=3c0f39b43f1788b8 L=68e88e671fe634b9 inclass=1
hit thread=2 seed=87aa7de06600ed2c H=906dec11d481b81e L=78cb064b1c423d8d inclass=1
hit thread=5 seed=8694811b5d34f0a1 H=7c57e805d054c2a1 L=70e026191b9534b8 inclass=1
hit thread=5 seed=033c39788d7e79b8 H=2a80c617cf140dbd L=28e2a75f1ef53599 inclass=1
hit thread=7 seed=4a9e790df1dc9998 H=d05efdec3f3c98ff L=6ac9070f1f533cb9 inclass=1
hit thread=7 seed=6986ee57ce51408c H=0abdb2602178d5bf L=7aa18a6119c23e2d inclass=1
hit thread=3 seed=aabccc316f54fd9c H=b7c7951abda609d8 L=608b2f6b1f813d9d inclass=1
hit thread=1 seed=e5b23040d2b3940c H=d173a1527e7a5dbd L=70a2af5f195735ad inclass=1
hit thread=5 seed=401e42b095a69098 H=eedd94d04ff46b98 L=28c0213f1a223db9 inclass=1
hit thread=6 seed=48b2f7b4b9e8dcfc H=ffc2779afdc8d290 L=28f926011d133dbd inclass=1
hit thread=2 seed=4d8e317030a8859c H=b71c1f8b70dc1f2f L=3af2250d1fe5359d inclass=1
hit thread=4 seed=4c30e67f3a1a3d38 H=31407c569f58e846 L=78c08b171f303d19 inclass=1
hit thread=7 seed=82b6808c531904a8 H=f1e82db24fd52cc3 L=70c383251f973e29 inclass=1
hit thread=4 seed=412c7be267a1791c H=a72e416940467978 L=7aba26391c963d1d inclass=1
hit thread=1 seed=ecbcb4657fadfd9c H=ed0017ce251af5c0 L=70f9810f18823d9d inclass=1
hit thread=1 seed=24bac57672b1c1b5 H=bf662d604045a849 L=7883023b1ef4350c inclass=1
hit thread=6 seed=672841f8d93d3438 H=5ae6df0427abd6b7 L=62c90e2518403e19 inclass=1
uniform: rngseed=90210 samples=68719476736 (2^36.00) collisions=226 inclass=226 rate=2^-28.180

real	2m18.047s
user	10m47.870s
sys	0m0.008s
